year,country,player_id,player_name,home_goals,away_goals,own_goal,penalty
1930,France,P-09831,Lucien Laurent,1,0,0,0
1930,France,P-05670,Marcel Langiller,1,0,0,0
1930,France,P-07295,André Maschinot,1,0,0,0
1930,France,P-07295,André Maschinot,1,0,0,0
1930,Mexico,P-03952,Juan Carreño,0,1,0,0
1930,United States,P-09935,Bart McGhee,1,0,0,0
1930,United States,P-06672,Tom Florie,1,0,0,0
1930,United States,P-09215,Bert Patenaude,1,0,0,0
1930,Yugoslavia,P-00319,Aleksandar Tirnanić,1,0,0,0
1930,Yugoslavia,P-06435,Ivan Bek,1,0,0,0
1930,Brazil,P-03855, Preguinho,0,1,0,0
1930,Romania,P-00978,Adalbert Deşu,1,0,0,0
1930,Romania,P-04102,Constantin Stanciu,1,0,0,0
1930,Romania,P-02034,Miklós Kovács,1,0,0,0
1930,Peru,P-00521,Luis Souza Ferreira,0,1,0,0
1930,Argentina,P-03789,Luis Monti,1,0,0,0
1930,Chile,P-04216,Carlos Vidal,1,0,0,0
1930,Chile,P-04216,Carlos Vidal,1,0,0,0
1930,Mexico,P-04652,Manuel Rosas,1,0,1,0
1930,Yugoslavia,P-06435,Ivan Bek,1,0,0,0
1930,Yugoslavia,P-06435,Ivan Bek,1,0,0,0
1930,Yugoslavia,P-00296,Blagoje Marjanović,1,0,0,0
1930,Yugoslavia,P-03989,Đorđe Vujadinović,1,0,0,0
1930,United States,P-09215,Bert Patenaude,1,0,0,0
1930,United States,P-09215,Bert Patenaude,1,0,0,0
1930,United States,P-09215,Bert Patenaude,1,0,0,0
1930,Uruguay,P-00826,Héctor Castro,1,0,0,0
1930,Chile,P-04702,Guillermo Subiabre,1,0,0,0
1930,Argentina,P-04418,Guillermo Stábile,1,0,0,0
1930,Argentina,P-04418,Guillermo Stábile,1,0,0,0
1930,Argentina,P-04418,Guillermo Stábile,1,0,0,0
1930,Argentina,P-00455,Adolfo Zumelzú,1,0,0,0
1930,Argentina,P-00455,Adolfo Zumelzú,1,0,0,0
1930,Argentina,P-00290,Francisco Varallo,1,0,0,0
1930,Mexico,P-04652,Manuel Rosas,0,1,0,1
1930,Mexico,P-04652,Manuel Rosas,0,1,0,0
1930,Mexico,P-04746,Roberto Gayón,0,1,0,0
1930,Brazil,P-04578, Moderato,1,0,0,0
1930,Brazil,P-04578, Moderato,1,0,0,0
1930,Brazil,P-03855, Preguinho,1,0,0,0
1930,Brazil,P-03855, Preguinho,1,0,0,0
1930,Paraguay,P-06978,Luis Vargas Peña,1,0,0,0
1930,Uruguay,P-00275,Pablo Dorado,1,0,0,0
1930,Uruguay,P-02775,Héctor Scarone,1,0,0,0
1930,Uruguay,P-08997,Peregrino Anselmo,1,0,0,0
1930,Uruguay,P-00724,Pedro Cea,1,0,0,0
1930,Argentina,P-04418,Guillermo Stábile,1,0,0,0
1930,Argentina,P-04418,Guillermo Stábile,1,0,0,0
1930,Argentina,P-06416,Mario Evaristo,1,0,0,0
1930,Chile,P-04702,Guillermo Subiabre,0,1,0,0
1930,Argentina,P-03789,Luis Monti,1,0,0,0
1930,Argentina,P-03988,Alejandro Scopelli,1,0,0,0
1930,Argentina,P-04418,Guillermo Stábile,1,0,0,0
1930,Argentina,P-04418,Guillermo Stábile,1,0,0,0
1930,Argentina,P-03816,Carlos Peucelle,1,0,0,0
1930,Argentina,P-03816,Carlos Peucelle,1,0,0,0
1930,United States,P-05896,Jim Brown,0,1,0,0
